dm,gpdm,gpmc,sgdm,zgrq,wsfxrq,ssrq,ssb,fxjg,fxsyl,xype,xype_jt,xype_ttm,fxszj_w,xgfxsl_w,lgzrsl_w,wxpssl_w,wsfxsl_w,hbbl,wxsgsx_w,wsfxsgsx,yjmz_y,mzze_y,mzje_y,ssgsfxfy_w,ssgsfxfl,lgzrfy_w,zrfl,fxfyhj_w,fxfl,cxjbjf_w,sjjyzf_w,flfy_w,xxplf_w,tzzsl,psdxsl,yjsgsl_w,yjrgbs,yxbjpsdxjs,yxbjtzzjs,yxsgpsdxjs,yxsgsl_w,yxsgzj_y,yxsghpbl,wxrgbs,yxsghs,yxsggs_w,zql,wsrgbs,fxfs,cxfs,zcxs,sjjg,zcpgjg,lssws,fxggrq,wxfxqsrq,wxfxjzrq,wsfxdjzj_y,wxpsdjzj_y,cxsrgyg_w,mz,sf,zjhxy_2012,zjhxy,windxy,zqlx,jys
002942.SZ,002942,新农股份,002942,2018-10-23,2018-11-22,,中小企业板,14.33,22.98,17.59,17.82888889,14.67333333,3000,3000,0,300,2700,50,400,12000,4.299,4.299,3.826081,4729.19,11.00067458,0,0,4729.19,11.00067458,2800,1066.0377,396.2264,437.7358,2934,4410,1763670,5878.9,4362,4362,4248,1698870,2434.48071,0.0176588,5662.9,12779384,8755316.7,0.0308384,3242.71,"网下询价,上网定价",余额包销,光大证券股份有限公司,中汇会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,上海东方华银律师事务所,2018-11-21,2018-11-22,2018-11-22,12546.36883,,11.2086,1,浙江省,化学原料及化学制品制造业,制造业-石油、化学、塑胶、塑料-化学原料及化学制品制造业,材料--材料Ⅱ--化工--化肥与农用化工,A股,深圳
002941.SZ,002941,新疆交建,002941,2018-10-17,2018-11-15,2018-11-28,中小企业板,7.18,22,10.29,10.35705882,9.782941176,6500,6500,0,650,5850,60,900,19500,4.667,4.667,4.191734,4752.66,10.18354403,0,0,4752.66,10.18354403,3500.25,490.57,198.11,476.42,3210,5036,4525700,6962.615385,4947,4947,4911,4413200,3168.6776,0.01472854,6789.5385,12666190,11004582.5,0.05315967,1881.1252,"网下询价,上网定价",余额包销,长江证券承销保荐有限公司,中审众环会计师事务所(特殊普通合伙),北京中科华资产评估有限公司,北京德恒律师事务所,2018-11-14,2018-11-15,2018-11-15,7901.290235,,13.9203,1,新疆维吾尔自治区,土木工程建筑业,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,深圳
300674.SZ,300674,宇信科技,300674,2018-10-16,2018-10-24,2018-11-07,创业板,8.36,22.97,38.86,39.36647059,37.94352941,4001,4001,0,400.1,3600.9,60,600,12000,3.344836,3.344836,2.883766,4610.7,13.78453234,0,0,4610.7,13.78453234,3100,800,250,430.19,2897,4873,2911940,7278.030492,4847,4847,4829,2885540,2412.31144,0.01386569,7212.047,10647248,7688482.45,0.04683499,2135.16,"网下询价,上网定价",余额包销,中国国际金融股份有限公司,立信会计师事务所(特殊普通合伙),北京中天华资产评估有限责任公司,北京安新律师事务所,2018-10-23,2018-10-24,2018-10-24,6427.571328,,11.2525,1,北京,软件和信息技术服务业,信息技术业-计算机应用服务业,信息技术--软件与服务--信息技术服务--信息科技咨询与其它服务,A股,深圳
002940.SZ,002940,昂利康,002940,2018-09-26,2018-10-11,2018-10-23,中小企业板,23.07,22.99,30.13,30.25434783,26.80478261,2250,2250,0,225,2025,50,300,9000,5.19075,5.19075,4.63532,5554.3,10.70038048,0,0,5554.3,10.70038048,3633.53,867.92,537.74,467.92,2910,4548,1362900,6057.333333,4548,4548,4542,1361100,3140.0577,0.01653075,6049.3333,11882465,6992550.2,0.02895939,3453.1112,"网下询价,上网定价",余额包销,东方花旗证券有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,浙江天册律师事务所,2018-10-10,2018-10-11,2018-10-11,16131.81331,,9.4974,1,浙江省,医药制造业,制造业-医药、生物制品-医药制造业,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
002939.SZ,002939,长城证券,002939,2018-09-17,2018-10-17,2018-10-26,中小企业板,6.31,22.98,17.31,17.31608696,18.58826087,31034.0536,31034.0536,0,3103.4036,27930.65,60,2200,93000,19.58248782,19.58248782,18.58335455,9991.332698,5.102177409,0,0,9991.332698,5.102177409,8773.584906,516.981132,94.339623,488.679245,2830,4174,9128190,2941.348009,4081,4081,4032,8815990,5562.88969,0.03520199,2840.7488,11579651,17342580.75,0.16105244,620.9158,"网下询价,上网定价",余额包销,"中信建投证券股份有限公司,招商证券股份有限公司,兴业证券股份有限公司",天职国际会计师事务所(特殊普通合伙),"北京中天华资产评估有限责任公司,沃克森(北京)国际资产评估有限公司",北京国枫律师事务所,2018-10-16,2018-10-17,2018-10-17,10943.16845,,109.7967,1,广东省,资本市场服务,金融、保险业-证券、期货业-证券经纪公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,深圳
300694.SZ,300694,蠡湖股份,300694,2018-09-17,2018-09-27,2018-10-15,创业板,9.89,22.98,27.7,27.69913043,26,5383,5383,0,538.3,4844.7,50,600,21500,5.323787,5.323787,4.432097,8916.9,16.74916746,0,0,8916.9,16.74916746,6406.99,1429.25,628.3,420,3101,4701,2820050,5238.807356,4657,4657,4648,2788250,2757.57925,0.01930602,5179.7325,11356424,11310832.5,0.04283239,2334.6817,"网下询价,上网定价",余额包销,东吴证券股份有限公司,天健会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,上海市广发律师事务所,2018-09-26,2018-09-27,2018-09-27,11186.41334,,14.1407,1,江苏省,通用设备制造业,制造业-机械、设备、仪表,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
300760.SZ,300760,迈瑞医疗,300760,2018-09-14,2018-09-27,2018-10-16,创业板,48.8,22.99,36.01,36.04826087,30.88869565,12160,12160,0,1216,10944,60,200,36000,59.340801,59.3408,57.517995,18228.05,3.0717567,0,0,18228.05,3.0717567,13839.62,1603.79,2088.37,449.91,2921,4648,913390,751.1430921,4643,4643,4634,910590,4443.6792,0.13353979,748.8405,11324544,14006011.05,0.07813788,1279.79,"网下询价,上网定价",余额包销,"华泰联合证券有限责任公司,中银国际证券股份有限公司",普华永道中天会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,上海市方达律师事务所,2018-09-26,2018-09-27,2018-09-27,68349.33392,,39.4572,1,广东省,专用设备制造业,制造业-机械、设备、仪表-专用设备制造业,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,深圳
601162.SH,601162,天风证券,780162,2018-09-10,2018-10-09,2018-10-19,主板,1.79,22.86,17.36,17.37695652,18.33434783,51800,51800,0,5180,46620,60,5800,155000,9.2722,9.2722,8.817161,4550.39,4.907562391,0,0,4550.39,4.907562391,2794.34,730.38,452.83,462.26,2363,4383,25270080,4878.393822,3737,3737,3720,21459910,3841.32389,0.02413803,4142.8398,11341976,18932047,0.24624912,406.0928,"网下询价,上网定价",余额包销,兴业证券股份有限公司,大信会计师事务所(特殊普通合伙),北京亚超资产评估有限公司,北京市君泽君律师事务所,2018-10-08,2018-10-09,2018-10-09,3388.836413,,151.9466,1,湖北省,资本市场服务,金融、保险业-证券、期货业-证券经纪公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海
603810.SH,603810,丰山集团,732810,2018-09-04,2018-09-06,2018-09-17,主板,25.43,20.39,20.39,20.31521739,18.26086957,2000,2000,0,,2000,0,,20000,5.086,5.086,4.49186,5941.4,11.6818718,0,0,5941.4,11.6818718,4318.3,632.08,481.13,438.68,,,,,,,,,,,,11968329,10484371,0.01907601,5242.1855,上网定价,余额包销,华泰联合证券有限责任公司,江苏公证天业会计师事务所(特殊普通合伙),江苏华信资产评估有限公司,北京海润天睿律师事务所,2018-09-05,,,26661.75545,,8.2819,1,江苏省,化学原料及化学制品制造业,制造业-石油、化学、塑胶、塑料,材料--材料Ⅱ--化工--基础化工,A股,上海
300749.SZ,300749,顶固集创,300749,2018-09-04,2018-09-13,2018-09-25,创业板,12.22,22.99,26.85,27.32958333,26.24541667,2850,2850,0,285,2565,50,400,11000,3.4827,3.4827,3.140767,3419.33,9.818043472,0,0,3419.33,9.818043472,1950.49,655.66,344.76,417.92,3116,4820,1928000,6764.912281,4815,4815,4801,1920400,2346.7288,0.01484066,6738.2456,11136334,7744549.8,0.03312007,3019.3177,"网下询价,上网定价",余额包销,长城证券股份有限公司,大华会计师事务所(特殊普通合伙),中联国际评估咨询有限公司,国浩律师(集团)事务所有限公司,2018-09-12,2018-09-13,2018-09-13,9463.839856,,7.7859,1,广东省,家具制造业,制造业-木材、家具-家具制造业,可选消费--耐用消费品与服装--家庭耐用消费品--家庭装饰品,A股,深圳
